ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region,created_date,created_year,created_month,created_month_name,created_year_month,created_hour,created_day_name,sla_target_hours,sla_status
TCKT_000001,2024-01-31 05:14:27,CUST_00861,individual,email,data_export,account_access,low,resolved,standard,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,Reset account credentials and confirmed successful login.,36.53,0,very_negative,1,0,android,EU,2024-01-31,2024,1,January,2024-01,5,Wednesday,96,Within SLA
TCKT_000002,2024-10-20 06:15:49,CUST_00770,individual,in_app,billing,security_concern,medium,closed_no_action,standard,I noticed a suspicious login on my account.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,Ticket closed without further action after no response from the customer.,238.32,0,neutral,3,0,web,NA,2024-10-20,2024,10,October,2024-10,6,Sunday,48,Breached
TCKT_000003,2024-06-18 21:35:54,CUST_02559,small_business,chat,api_integration,bug,low,in_progress,standard,The api integration feature is not saving my changes.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,,,0,neutral,3,0,android,MEA,2024-06-18,2024,6,June,2024-06,21,Tuesday,96,Not Resolved
TCKT_000004,2025-12-25 15:59:52,CUST_03557,education,chat,analytics_dashboard,account_access,medium,in_progress,standard,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,,,0,positive,5,1,android,LATAM,2025-12-25,2025,12,December,2025-12,15,Thursday,48,Not Resolved
TCKT_000005,2023-08-27 16:08:33,CUST_09556,enterprise,phone_transcript,login_auth,billing_problem,low,resolved,gold,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Adjusted the invoice and issued a refund where applicable.,61.32,0,very_negative,2,0,web,NA,2023-08-27,2023,8,August,2023-08,16,Sunday,72,Within SLA
TCKT_000006,2024-09-24 14:04:53,CUST_03844,education,email,mobile_app,performance,low,closed_no_action,gold,Queries in the mobile app module are timing out.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,226.93,0,positive,5,0,ios,NA,2024-09-24,2024,9,September,2024-09,14,Tuesday,72,Breached
TCKT_000007,2024-11-01 16:14:51,CUST_01017,education,in_app,billing,security_concern,urgent,resolved,gold,I noticed a suspicious login on my account.,We take security very seriously. This has been escalated to our on-call team for immediate attention.,"Investigated logs, mitigated the issue, and updated security settings.",4.36,0,negative,3,1,api_client,APAC,2024-11-01,2024,11,November,2024-11,16,Friday,8,Within SLA
TCKT_000008,2024-11-07 06:43:26,CUST_00065,non_profit,phone_transcript,api_integration,billing_problem,low,resolved,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Adjusted the invoice and issued a refund where applicable.,26.78,0,very_negative,0,0,web,NA,2024-11-07,2024,11,November,2024-11,6,Thursday,96,Within SLA
TCKT_000009,2023-08-30 23:04:26,CUST_05893,small_business,phone_transcript,billing,billing_problem,high,resolved,platinum,I was charged twice for my subscription this month.,Thanks for reaching out about the billing issue. We are prioritizing this and will update you as soon as possible.,Adjusted the invoice and issued a refund where applicable.,20.55,0,negative,0,0,desktop_app,APAC,2023-08-30,2023,8,August,2023-08,23,Wednesday,8,Breached
TCKT_000010,2023-04-26 19:33:56,CUST_02732,education,phone_transcript,login_auth,performance,medium,resolved,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Optimized queries and increased resource allocation.,9.26,0,neutral,4,0,android,APAC,2023-04-26,2023,4,April,2023-04,19,Wednesday,48,Within SLA
